Date,XLP,XLY,XLE,XLF,XLV,XLI,XLK,XLU
1/7/2000,24.375,30.5625,28.0781,18.7018,29.7969,29.375,51,27.4844
1/14/2000,24.1563,30.1406,28.0625,19.425,32.0938,29,52.875,26.9688
1/21/2000,23.3281,28.8906,29.0938,18.1435,31.9375,28.3281,53.625,27.875
1/28/2000,22.8125,27,26.6875,18.2196,30.25,27,48.9375,26.4219
2/4/2000,22.7188,28.0625,26.3125,18.3338,31.6406,27.1094,54.125,27.1094
2/11/2000,21.5781,26.9844,25.7188,17.4584,30.6563,25.4688,54.375,26.2344
2/18/2000,21.2813,25,26.5156,16.4434,28.2031,25.7969,53.625,24.9844
2/25/2000,20.2031,24.2813,24.8125,16.0881,27.3438,25.3281,55.2813,23.4375
3/3/2000,20.2656,25.8281,26.875,17.0016,28.6406,26.3438,58.5781,26.2344
3/10/2000,19.5781,24.9688,27.75,16.2784,27.8281,25.7813,59.75,25.5781
3/17/2000,21.0938,28.2656,27.7813,18.816,29.3125,27.5938,59.875,26.6406
3/24/2000,20.5781,28.3594,28.0313,20.1989,31.2188,29.0469,63.9844,25.9375
3/31/2000,21.2188,29.2656,29.3125,19.7041,30.6719,29.2031,60.5625,26.7344
4/7/2000,21.8125,30.125,28.8594,19.4884,30.7656,29.5781,60.5625,27.7344
4/14/2000,21.7344,28,28.5,18.245,27.7188,27.5938,49.5,27.625
4/21/2000,22.75,29.2188,28.6094,19.2347,29.5938,28.7188,52.875,27.625
4/28/2000,22.3438,28.6563,28.875,19.8944,30.3125,29.625,55,28.4844
5/5/2000,23.2188,27.8281,30.0625,18.7525,28.8438,29.5625,53.4219,27.5625
5/12/2000,23.3125,28.6875,31.6094,19.3362,29.125,30.0938,50.125,28.1563
5/19/2000,23.9844,28.1406,31.8125,19.6407,28.8438,29.6875,48.5625,27.8438
5/26/2000,24.3125,26.2813,30.8906,19.6914,28.0313,28.7813,47.1875,28.0625
6/2/2000,23.1719,28.0625,30.875,21.8737,30.0313,29.9531,53.8438,28.5313
6/9/2000,23.7344,26.3125,31.1719,20.5034,29.8125,29.1875,54.125,29.1719
6/16/2000,24.2188,25.8438,31.75,19.4884,30.125,28.9844,54.375,28.8438
6/23/2000,24.0625,25.125,31.4219,19.4377,29.5,27.5938,53.8281,29
6/30/2000,25.2344,25.5938,30.3438,19.2854,29.5625,28.2813,54.1875,27.25
7/7/2000,25.2031,27.7188,29.7031,20.3512,29.875,28.4688,54.5,28.6406
7/14/2000,24.2813,28.2188,30,20.9348,30.4063,29.6875,56.9375,28.2344
7/21/2000,24.125,27.625,28.9375,20.9602,29.4688,30,54.9375,28
7/28/2000,24.5781,26.5313,29.375,20.6303,28.8438,28.2813,50.2813,27.5938
8/4/2000,25.0625,26.1406,30,22.4954,30.2656,29.2188,51.4688,28.6406
8/11/2000,24.4375,26.75,31.25,22.6223,30.0938,30.875,51.875,28.2969
8/18/2000,24.2813,26.1563,32.375,22.3559,30.125,30.7188,54.1875,28.0313
8/25/2000,24.5313,26.1094,32.625,22.1402,30.2969,31.4063,55.2969,28
9/1/2000,23.875,25.4219,32.7031,22.7365,30.125,31.8438,56.5625,29.0938
9/8/2000,23.7031,26.3281,32.875,23.5231,29.1875,31.4375,53,30.5
9/15/2000,23.625,26.3594,33.9375,23.2567,29.1563,30.375,50.7656,30.5313
9/22/2000,24.9375,25.6406,31.9844,22.8126,28.375,29.7188,49.25,30.2813
9/29/2000,24.9844,24.8906,32.7656,23.5485,29.0625,30.5625,46.375,32.2813
10/6/2000,25.1719,24.0156,32.25,22.7872,29.3438,30.25,44.4219,32.1875
10/13/2000,25.2344,22.3125,33,21.62,28.0156,29.7188,43.4375,31.6563
10/20/2000,25.5,23,33.0625,22.0513,27.6875,29.4375,45.2813,31.6719
10/27/2000,26.2031,22.9531,31.125,22.3432,28.2969,29.8281,42.3594,32.625
11/3/2000,26.3438,24.6406,31.625,23.2947,29.8594,30.9688,44.3125,33.8125
11/10/2000,27.3594,22.9219,32.0625,23.0283,28.4531,30.6563,38.75,34.125
11/17/2000,27,24.2188,32.4844,22.1782,28.125,30.7813,40,33.5313
11/24/2000,27,23.3438,33,21.2013,27.1719,30.7188,38.625,33.7188
12/1/2000,27.2344,24,30.875,22.026,27,30.4531,35.2031,33.4844
12/8/2000,27.2813,25.2656,30.9844,23.447,28.1406,32.2344,37.6875,33.3438
12/15/2000,27.2188,23.7188,30.7969,22.5208,27.6875,30.25,34.6875,33.625
12/22/2000,27.5,24.5,32,23.4343,26.9531,30.1563,32.7344,32.1719
12/29/2000,28.5625,25.5938,33.1875,23.9545,27.25,31.25,31.3125,33.1875
1/5/2001,26,27.0313,31.9219,23.5993,28.25,30.5,32.5,31.1875
1/12/2001,25.75,26.8438,31.5156,22.9522,29.4375,30.9063,35.0313,31.2188
1/19/2001,25.8125,25.625,30.6094,22.8887,29.1406,31.0313,38.0781,31.25
1/26/2001,26.3281,27.0625,31.7813,23.9672,28.9844,30.6719,37.375,31.125
2/2/2001,26.88,27.99,32.25,23.9951,29.26,30.86,35.64,31.35
2/9/2001,27.17,26.75,33.92,23.6622,29.25,30.12,32.62,32.02
2/16/2001,26.63,27.24,33.02,23.5891,29.19,30.08,31.99,32.01
2/23/2001,26.28,26.43,32.04,22.095,28.38,29.5,29.33,31.94
3/2/2001,26.64,26.3,32.83,22.3467,28.61,29.45,27.8,31.7
3/9/2001,26.21,27.5,34.07,22.3305,28.59,30.15,27.15,31.48
3/16/2001,24.31,25.5,31.45,21.0719,27.07,27.01,25.44,30.1
3/23/2001,23.71,25.18,30.53,20.4304,25.8,26.09,26.8,28.95
3/30/2001,24.72,26.09,30.7,21.5509,26.82,26.59,24.8,31.29
4/6/2001,24.42,25.98,30.64,20.6821,26.59,26.36,23.35,30.57
4/13/2001,24.45,25.27,31.66,21.6159,27.1,27.85,26.54,31.44
4/20/2001,24.38,27.11,32.06,22.2818,28.98,29.38,30,31.68
4/27/2001,25.06,27.79,33.87,22.6959,28.8,29.94,28.37,32.77
5/4/2001,25.42,27.75,32.69,22.9801,28.86,29.92,29.55,32.6
5/11/2001,25.18,28,32.77,22.3711,28.96,30.09,28.5,32.39
5/18/2001,26.01,28.58,34.68,23.0532,30.1,31.95,29.49,33.3
5/25/2001,25.4,28.24,33.38,23.2887,30.24,31.16,29.65,32.68
6/1/2001,25.91,27.85,33.4,23.2724,29.81,30.78,28.1,32.75
6/8/2001,25.83,28.11,32.79,23.0938,29.9,30.71,29.03,31.88
6/15/2001,25.32,26.98,32.39,22.3954,28.9,29.85,26.45,30.82
6/22/2001,25.12,27.98,31.53,23.3861,29.11,29.5,26.4,30.59
6/29/2001,24.31,27.67,30.35,23.0613,29.55,28.9,28.17,31.15
7/6/2001,24.23,26.67,30.39,22.7121,28.86,28.73,25.9,31.55
7/13/2001,24.3,28.66,29.67,22.8502,29.16,29,27.34,31.63
7/20/2001,25.28,29.15,29.66,22.5984,28.83,29.25,26.3,31.1
7/27/2001,24.69,28.7,30.32,22.6634,29.17,28.9,26.31,30.77
8/3/2001,25.08,28.86,29.42,23.0045,28.99,29.18,26.9,31.09
8/10/2001,25.07,28.18,28.98,22.5741,28.6,29.04,25.54,30.76
8/17/2001,25.46,27.18,29.33,22.0706,27.89,28.37,24.13,30
8/24/2001,26,27.28,29.62,22.1762,28.81,28.87,24.96,30.34
8/31/2001,25.17,26.37,28.73,21.3317,27.49,27.85,23.02,29.77
9/7/2001,24.9,24.63,28.78,20.2192,26.07,26.5,21.02,29.63
9/14/2001,25.45,24.42,28.87,20.2598,25.73,26.45,21.47,30.12
9/21/2001,23.51,21.05,25.08,17.7832,21.96,21.68,18.34,29.13
9/28/2001,25.06,22.97,25.82,20.0406,23.5,23.67,19.25,29.26
