Nemo
A
AAPL
AAXJ
ABBV
ABC
ABMD
ABT
ADBE
ADI
ADM
ADP
ADS
ADSK
AEP
AET
AFL
AIV
AIZ
AJG
AME
ANSS
AON
APA
APC
ATVI
AVB
AVGO
AWK
AXP
AZO
BA
BAC
BAX
BBT
BDX
BHGE
BK
BLK
BR
BTI
BUD
BWA
CA
CAF
CAT
CB
CBOE
CBRE
CBS
CCL
CDNS
CELG
CHRW
CHTR
CINF
CL
CMG
COO
CPB
CPRT
CRM
CTAS
CTXS
D
DAL
DBC
DD
DFS
DIS
DISH
DRE
DTE
DVY
EA
EFX
EIX
EMN
ESRX
ETR
EW
EWZ
EXC
EXPD
FB
FBHS
FCX
FFIV
FIS
FISV
FLR
FLT
FMC
FRT
FTNT
GILD
GIS
GLW
GOOGL
GPS
GT
GTE
GWW
HAS
HBAN
HCA
HES
HFC
HIG
HII
HLT
HOG
HON
HPQ
HRS
HST
HUM
ICE
IDU
ILMN
INCY
INTU
IPG
ITW
IYF
JBHT
JCI
JEC
JEF
JNJ
KEY
KIM
KMB
KMX
KR
KSS
KSU
LB
LEG
LEN
LLL
LLY
LNC
LNT
LOW
LUV
LYB
MAA
MAC
MAR
MAS
MCHP
MCK
MCO
MDLZ
MDT
MET
MGM
MHK
MLM
MMC
MNST
MOS
MRO
MSFT
MSI
MTD
MUR
NBL
NEM
NFLX
NI
NKE
NKTR
NLSN
NOV
NRG
NSC
NUE
NVDA
O
OMC
OXY
PAYX
PBCT
PCAR
PEG
PFE
PG
PHM
PNC
PPL
PRU
PSA
PVH
PWR
RCL
REG
REGN
RF
RHI
RMD
ROK
ROL
ROST
RSG
RTN
SBUX
SCCO
SEE
SHW
SIVB
SJM
SLB
SNA
SO
SPGI
SRCL
SSNLF
STI
STT
STZ
SWKS
SYK
SYY
TAP
TMK
TMO
TPR
TROW
TSCO
TSS
TTWO
TWTR
TXN
UAA
UAL
UDR
UHS
ULTA
UPS
V
VIAB
VMC
VNO
VRSN
VRTX
VTR
WAT
WBA
WCG
WFC
WM
WMB
WU
WY
WYNN
XLE
XLNX
XLU
XOM
XRAY
XRX
ZBH
ZION
